replicate,champion,instance,state_owner,snapshot_iteration,source,phase,deposit_l1_over_budget,source_edge_tau_l1_over_two_budget,global_tau_relative_l1
0,81003,2,不使用 GP 产生的状态,1,历史重启阶段最优路径,更新前,0.2293232297008648,0.0,0.0
0,81003,2,不使用 GP 产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,0.2293232297008648,0.0,0.0
0,81003,2,不使用 GP 产生的状态,1,历史重启阶段最优路径,沉积后,0.2293232297008648,0.22932329631335283,0.0001843473013042177
0,81003,2,不使用 GP 产生的状态,1,历史重启阶段最优路径,重启和可选上界处理后,0.2293232297008648,0.22932329631335283,0.0001843473013042177
0,81003,3,不使用 GP 产生的状态,1,历史重启阶段最优路径,更新前,0.2182666335770961,0.0,0.0
0,81003,3,不使用 GP 产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,0.2182666335770961,0.0,0.0
0,81003,3,不使用 GP 产生的状态,1,历史重启阶段最优路径,沉积后,0.2182666335770961,0.21826674405696492,0.00017805167876660212
0,81003,3,不使用 GP 产生的状态,1,历史重启阶段最优路径,重启和可选上界处理后,0.2182666335770961,0.21826674405696492,0.00017805167876660212
0,81003,4,不使用 GP 产生的状态,1,历史重启阶段最优路径,更新前,0.24073571594977092,0.0,0.0
0,81003,4,不使用 GP 产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,0.24073571594977092,0.0,0.0
0,81003,4,不使用 GP 产生的状态,1,历史重启阶段最优路径,沉积后,0.24073571594977092,0.240735685085747,0.00019054877269130525
0,81003,4,不使用 GP 产生的状态,1,历史重启阶段最优路径,重启和可选上界处理后,0.24073571594977092,0.240735685085747,0.00019054877269130525
0,81003,5,不使用 GP 产生的状态,1,历史重启阶段最优路径,更新前,0.2201083245053929,0.0,0.0
0,81003,5,不使用 GP 产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,0.2201083245053929,0.0,0.0
0,81003,5,不使用 GP 产生的状态,1,历史重启阶段最优路径,沉积后,0.2201083245053929,0.22010833086236523,0.0001723763826263845
0,81003,5,不使用 GP 产生的状态,1,历史重启阶段最优路径,重启和可选上界处理后,0.2201083245053929,0.22010833086236523,0.0001723763826263845
0,81003,6,不使用 GP 产生的状态,1,历史重启阶段最优路径,更新前,0.22808039434355565,0.0,0.0
0,81003,6,不使用 GP 产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,0.22808039434355565,0.0,0.0
0,81003,6,不使用 GP 产生的状态,1,历史重启阶段最优路径,沉积后,0.22808039434355565,0.22808036791049652,0.0001822272976131675
0,81003,6,不使用 GP 产生的状态,1,历史重启阶段最优路径,重启和可选上界处理后,0.22808039434355565,0.22808036791049652,0.0001822272976131675
0,81003,7,不使用 GP 产生的状态,1,历史重启阶段最优路径,更新前,0.22202642814609302,0.0,0.0
0,81003,7,不使用 GP 产生的状态,1,历史重启阶段最优路径,蒸发和下界保护后,0.22202642814609302,0.0,0.0
0,81003,7,不使用 GP 产生的状态,1,历史重启阶段最优路径,沉积后,0.22202642814609302,0.22202645632837012,0.0001791163751719457
0,81003,7,不使用 GP 产生的状态,1,历史重启阶段最优路径,重启和可选上界处理后,0.22202642814609302,0.22202645632837012,0.0001791163751719457
0,81003,0,不使用 GP 产生的状态,1,历史全局最优路径,更新前,0.22511038695020233,0.0,0.0
0,81003,0,不使用 GP 产生的状态,1,历史全局最优路径,蒸发和下界保护后,0.22511038695020233,0.0,0.0
0,81003,0,不使用 GP 产生的状态,1,历史全局最优路径,沉积后,0.22511038695020233,0.22511044560359944,0.00018418526673178286
0,81003,0,不使用 GP 产生的状态,1,历史全局最优路径,重启和可选上界处理后,0.22511038695020233,0.22511044560359944,0.00018418526673178286
0,81003,1,不使用 GP 产生的状态,1,历史全局最优路径,更新前,0.2349115093038901,0.0,0.0
0,81003,1,不使用 GP 产生的状态,1,历史全局最优路径,蒸发和下界保护后,0.2349115093038901,0.0,0.0
0,81003,1,不使用 GP 产生的状态,1,历史全局最优路径,沉积后,0.2349115093038901,0.2349115115800946,0.0001912007554474019
0,81003,1,不使用 GP 产生的状态,1,历史全局最优路径,重启和可选上界处理后,0.2349115093038901,0.2349115115800946,0.0001912007554474019
0,81003,2,不使用 GP 产生的状态,1,历史全局最优路径,更新前,0.2293232297008648,0.0,0.0
0,81003,2,不使用 GP 产生的状态,1,历史全局最优路径,蒸发和下界保护后,0.2293232297008648,0.0,0.0
0,81003,2,不使用 GP 产生的状态,1,历史全局最优路径,沉积后,0.2293232297008648,0.22932329631335283,0.0001843473013042177
0,81003,2,不使用 GP 产生的状态,1,历史全局最优路径,重启和可选上界处理后,0.2293232297008648,0.22932329631335283,0.0001843473013042177
0,81003,3,不使用 GP 产生的状态,1,历史全局最优路径,更新前,0.2182666335770961,0.0,0.0
0,81003,3,不使用 GP 产生的状态,1,历史全局最优路径,蒸发和下界保护后,0.2182666335770961,0.0,0.0
0,81003,3,不使用 GP 产生的状态,1,历史全局最优路径,沉积后,0.2182666335770961,0.21826674405696492,0.00017805167876660212
0,81003,3,不使用 GP 产生的状态,1,历史全局最优路径,重启和可选上界处理后,0.2182666335770961,0.21826674405696492,0.00017805167876660212
0,81003,4,不使用 GP 产生的状态,1,历史全局最优路径,更新前,0.24073571594977092,0.0,0.0
0,81003,4,不使用 GP 产生的状态,1,历史全局最优路径,蒸发和下界保护后,0.24073571594977092,0.0,0.0
0,81003,4,不使用 GP 产生的状态,1,历史全局最优路径,沉积后,0.24073571594977092,0.240735685085747,0.00019054877269130525
0,81003,4,不使用 GP 产生的状态,1,历史全局最优路径,重启和可选上界处理后,0.24073571594977092,0.240735685085747,0.00019054877269130525
0,81003,5,不使用 GP 产生的状态,1,历史全局最优路径,更新前,0.2201083245053929,0.0,0.0
